Type of Wages,Type of Farm Workers,Geolocation,Gender,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,ADM1_CODE
Nominal Wage Rate,Sugarcane Workers,Region I (Ilocos Region),Male,76.55,94.94,102.31,126.23,127.11,130.78,197.73,148.22,153.13,167.72,165.55,191.69,193.75,226.79,252.05,257.26,257.99,258.06,260.66,310.64,315.0,332.92,333.65,408.59,336.16,353.25,PH010000000
Nominal Wage Rate,Sugarcane Workers,Region II (Cagayan Valley),Female,,,,84.29,100.38,125.41,128.12,127.46,136.79,147.28,155.7,161.1,189.58,196.82,204.96,206.1,209.02,209.31,219.05,244.35,244.54,257.2,260.6,257.51,269.35,308.56,PH020000000
Nominal Wage Rate,Sugarcane Workers,Region II (Cagayan Valley),Male,,,,115.95,120.67,145.39,140.08,135.79,138.18,170.52,194.85,200.14,201.09,201.45,205.77,208.42,210.56,210.87,235.14,247.62,249.0,262.88,264.77,251.31,276.41,322.18,PH020000000
Nominal Wage Rate,Sugarcane Workers,Region III (Central Luzon),Female,70.05,82.36,88.49,116.98,126.76,161.65,137.2,123.0,129.95,157.16,174.43,186.63,197.82,200.17,211.78,251.01,252.0,252.41,264.6,266.67,274.79,284.78,323.83,351.11,301.79,322.58,PH030000000
Nominal Wage Rate,Sugarcane Workers,Region III (Central Luzon),Male,93.13,105.45,111.05,120.89,125.08,130.58,161.85,161.97,164.33,180.09,210.68,222.07,222.9,225.11,227.05,254.82,254.84,255.55,290.1,303.49,314.72,329.48,331.36,275.49,317.8,331.34,PH030000000
Nominal Wage Rate,Sugarcane Workers,Region IV-A (CALABARZON),Female,92.35,102.77,123.68,149.86,,,212.72,140.5,148.31,165.12,173.33,198.48,214.35,214.75,216.0,222.22,,,237.41,261.24,271.84,284.62,300.0,330.32,257.68,328.19,PH040000000
Nominal Wage Rate,Sugarcane Workers,Region IV-A (CALABARZON),Male,94.77,110.5,118.83,131.6,154.55,193.12,206.42,168.38,175.71,177.0,195.84,221.2,223.03,223.27,223.66,225.91,227.86,228.48,229.5,289.83,292.81,305.7,306.85,308.08,258.9,341.08,PH040000000
Nominal Wage Rate,Sugarcane Workers,Region IX (Zamboanga Peninsula),Female,,,,,,,,,,,,,,,,,,,,,,,,,,,PH090000000
Nominal Wage Rate,Sugarcane Workers,Region IX (Zamboanga Peninsula),Male,,,,,,,,,,,,,,,,,,,,,,,,,,,PH090000000
Nominal Wage Rate,Sugarcane Workers,Region V (Bicol Region),Female,67.22,80.87,84.16,123.94,131.6,135.12,,,130.85,123.08,138.82,142.38,150.0,158.04,,,144.54,,,,,210.96,237.94,231.2,247.61,267.68,PH050000000
Nominal Wage Rate,Sugarcane Workers,Region V (Bicol Region),Male,79.68,91.33,98.75,107.31,111.38,139.17,128.74,131.7,138.5,138.58,145.17,159.15,161.59,167.71,168.07,168.37,179.05,182.63,182.92,211.25,223.67,236.96,239.74,241.17,260.24,295.85,PH050000000
Nominal Wage Rate,Sugarcane Workers,Region VI (Western Visayas),Female,69.03,75.64,79.16,86.51,98.42,120.45,127.04,133.49,116.13,130.65,140.3,148.02,173.88,156.85,173.56,179.17,179.34,172.4,185.8,192.87,201.04,218.56,252.04,204.62,248.24,317.53,PH060000000
Nominal Wage Rate,Sugarcane Workers,Region VI (Western Visayas),Male,80.48,92.24,98.9,102.62,129.22,161.27,156.53,161.9,168.17,160.14,153.11,180.13,181.44,189.48,192.99,191.84,192.28,195.67,214.32,231.26,237.47,258.23,261.14,231.28,279.22,301.21,PH060000000
Nominal Wage Rate,Sugarcane Workers,Region VII (Central Visayas),Female,67.88,71.77,73.87,78.48,96.81,126.45,119.85,121.19,123.4,116.36,128.9,127.46,146.67,135.34,136.64,138.06,138.59,166.15,175.95,181.1,201.04,206.72,209.43,242.75,257.1,262.97,PH070000000
Nominal Wage Rate,Sugarcane Workers,Region VII (Central Visayas),Male,77.47,84.05,88.6,95.25,102.73,128.13,135.03,138.44,141.66,144.52,137.84,162.8,163.67,165.69,168.78,169.78,176.21,196.64,215.67,222.35,235.85,243.39,243.6,243.97,265.73,282.15,PH070000000
Nominal Wage Rate,Sugarcane Workers,Region VIII (Eastern Visayas),Female,72.63,90.2,103.7,104.75,,107.26,142.71,134.02,135.19,144.97,152.8,154.44,168.02,169.3,169.78,173.63,173.79,183.83,183.33,189.87,215.92,226.79,237.66,,268.14,277.36,PH080000000
Nominal Wage Rate,Sugarcane Workers,Region VIII (Eastern Visayas),Male,78.04,94.3,106.11,109.34,112.5,137.56,157.77,162.02,156.67,152.41,160.34,173.41,174.18,174.22,174.64,176.35,178.6,187.33,193.17,228.69,240.33,252.91,252.96,257.68,254.97,294.56,PH080000000
Nominal Wage Rate,Sugarcane Workers,Region X (Northern Mindanao),Female,,,,62.12,74.37,95.0,100.0,105.0,107.0,127.96,135.1,134.2,146.9,146.92,151.06,153.32,147.51,164.43,163.38,177.46,182.14,190.17,211.07,249.13,202.88,286.16,PH100000000
Nominal Wage Rate,Sugarcane Workers,Region X (Northern Mindanao),Male,,,,99.13,114.77,125.51,143.8,143.85,134.89,137.47,151.58,164.71,166.05,167.19,171.82,169.7,170.51,180.4,190.54,192.27,229.2,236.28,239.35,233.31,294.13,294.25,PH100000000
Nominal Wage Rate,Sugarcane Workers,Region XI (Davao Region),Female,62.93,80.33,86.48,88.26,101.51,130.65,130.94,135.96,157.75,159.1,164.01,170.3,179.16,177.53,184.39,185.9,169.23,198.44,195.92,206.14,248.31,258.62,259.55,220.44,,205.66,PH110000000
Nominal Wage Rate,Sugarcane Workers,Region XI (Davao Region),Male,79.94,90.77,102.47,103.31,114.34,116.84,137.9,161.88,161.08,161.46,171.79,201.91,202.67,209.09,212.8,209.08,209.72,214.35,216.34,239.63,261.32,272.18,275.82,323.54,363.27,383.88,PH110000000
Nominal Wage Rate,Sugarcane Workers,Region XII (SOCCSKSARGEN),Female,72.34,78.19,84.42,86.47,92.95,117.8,115.75,121.75,122.13,145.1,142.23,148.63,159.32,145.69,148.54,156.14,148.89,155.38,178.7,196.01,210.0,222.49,226.67,238.73,269.72,270.97,PH120000000
Nominal Wage Rate,Sugarcane Workers,Region XII (SOCCSKSARGEN),Male,79.88,88.46,94.55,105.06,121.27,143.99,135.25,163.3,164.79,163.02,175.77,175.22,177.18,181.34,183.38,188.88,191.36,190.56,199.35,216.16,238.05,252.17,253.26,248.7,277.46,279.42,PH120000000
Nominal Wage Rate,Sugarcane Workers,Region XIII (Caraga),Female,,,,,,,,,,,,,,,,,,,,,,,,,,,PH160000000
Nominal Wage Rate,Sugarcane Workers,Region XIII (Caraga),Male,,,,,,,,,,,,,,,,,,,,,,,,,,,PH160000000
Real Wage Rate,Coconut Workers,Autonomous Region in Muslim Mindanao (ARMM),Female,,,,,124.17,103.48,101.41,95.28,98.1,119.22,110.29,109.64,109.64,109.6,,88.74,93.18,89.54,126.04,,,,124.22,172.86,231.73,,PH150000000
Real Wage Rate,Coconut Workers,Autonomous Region in Muslim Mindanao (ARMM),Male,,,,129.73,120.11,121.1,127.12,120.8,140.1,136.04,131.33,122.52,114.81,110.57,102.68,97.45,93.27,90.5,133.03,138.01,125.68,135.84,139.67,211.92,276.64,274.59,PH150000000
Real Wage Rate,Coconut Workers,Cordillera Administrative Region (CAR),Female,,,,,,,,,,,,,,,,,,,,,,,,,,,PH140000000
Real Wage Rate,Coconut Workers,Cordillera Administrative Region (CAR),Male,,,,,,,,,,,,,,,,,,,,,,,,,,,PH140000000
Real Wage Rate,Coconut Workers,MIMAROPA Region,Female,,,,,,,,,113.73,119.54,127.96,115.85,117.49,127.46,119.63,116.71,125.53,121.27,153.95,164.59,154.16,155.83,158.09,203.66,213.59,337.23,PH170000000
Real Wage Rate,Coconut Workers,MIMAROPA Region,Male,,,,,,,,,133.03,133.44,132.85,133.67,128.94,130.82,126.99,130.4,128.24,126.34,166.53,178.81,173.84,174.86,176.18,258.39,263.16,340.93,PH170000000
Real Wage Rate,Coconut Workers,Region I (Ilocos Region),Female,131.02,127.33,,120.49,,,100.0,,,,,,,,,,,,,,,,,,,,PH010000000
Real Wage Rate,Coconut Workers,Region I (Ilocos Region),Male,145.54,142.97,146.96,148.15,142.08,156.62,167.41,156.63,156.41,144.16,136.8,137.43,133.11,130.01,137.72,133.37,131.72,131.24,205.46,259.25,240.94,245.93,246.95,250.63,230.59,290.66,PH010000000
Real Wage Rate,Coconut Workers,Region II (Cagayan Valley),Female,,,,,,,,,121.87,125.05,117.65,,,,121.64,,,,,155.36,150.83,,,,,,PH020000000
Real Wage Rate,Coconut Workers,Region II (Cagayan Valley),Male,,,,,89.69,103.26,125.86,121.63,135.09,133.22,133.64,137.86,132.37,141.16,128.36,122.69,121.91,120.35,177.81,202.51,187.96,189.4,190.25,343.77,329.19,366.09,PH020000000
Real Wage Rate,Coconut Workers,Region III (Central Luzon),Female,,,,,,,,,,,,133.77,,,,,,,,,,,220.39,,,280.58,PH030000000
Real Wage Rate,Coconut Workers,Region III (Central Luzon),Male,137.2,142.92,156.81,180.29,168.1,169.25,162.0,140.43,154.44,178.57,169.9,175.79,167.5,176.14,174.23,167.88,162.77,159.49,228.68,229.11,223.52,237.78,240.59,286.7,275.17,301.17,PH030000000
Real Wage Rate,Coconut Workers,Region IV-A (CALABARZON),Female,122.33,118.51,119.14,115.98,115.5,130.2,136.89,118.9,,,155.04,,,,,119.24,,144.32,189.67,225.23,,,,,,328.18,PH040000000
Real Wage Rate,Coconut Workers,Region IV-A (CALABARZON),Male,135.13,131.9,128.6,138.02,137.25,162.8,137.12,154.99,159.1,167.72,161.89,156.26,148.41,168.26,160.3,162.04,159.77,159.5,212.99,230.8,219.01,226.93,227.68,336.36,323.08,330.66,PH040000000
Real Wage Rate,Coconut Workers,Region IX (Zamboanga Peninsula),Female,,,,,103.13,,,97.87,,127.93,112.41,116.83,113.5,113.53,100.65,97.74,100.02,100.12,129.4,140.94,142.87,145.81,145.71,188.96,173.05,211.97,PH090000000
Real Wage Rate,Coconut Workers,Region IX (Zamboanga Peninsula),Male,124.57,121.07,121.03,138.67,129.75,140.46,143.93,137.01,123.95,124.96,118.61,119.67,116.19,113.78,101.23,98.29,100.04,100.31,136.94,158.4,147.08,148.32,149.41,209.85,212.6,226.43,PH090000000
Real Wage Rate,Coconut Workers,Region V (Bicol Region),Female,121.01,116.13,93.55,103.51,89.09,84.03,90.91,81.55,91.41,93.58,82.0,,,,,,102.99,,,140.15,,,140.3,250.66,233.93,278.48,PH050000000
Real Wage Rate,Coconut Workers,Region V (Bicol Region),Male,130.7,133.66,110.25,125.0,127.67,126.66,115.34,123.54,126.04,116.65,111.74,111.46,107.25,108.29,105.2,100.8,103.44,105.78,148.79,143.96,141.38,152.49,181.86,239.26,300.32,292.84,PH050000000
Real Wage Rate,Coconut Workers,Region VI (Western Visayas),Female,104.83,103.94,85.93,99.88,70.29,72.46,81.43,82.97,99.62,80.62,78.74,80.14,85.56,102.09,103.53,99.38,103.7,100.64,130.51,129.27,134.86,150.52,,248.92,275.58,302.8,PH060000000
Real Wage Rate,Coconut Workers,Region VI (Western Visayas),Male,108.16,108.19,90.16,116.28,110.9,102.23,102.96,97.61,103.64,110.13,107.17,105.35,104.88,114.21,110.49,106.0,105.27,102.91,143.25,140.9,138.98,148.46,149.86,256.9,257.09,270.7,PH060000000
Real Wage Rate,Coconut Workers,Region VII (Central Visayas),Female,103.62,102.87,,106.5,112.44,90.62,99.72,78.93,92.52,89.29,75.92,77.33,84.19,98.95,92.04,92.93,96.06,97.3,,146.04,148.25,159.81,,178.54,174.26,234.2,PH070000000
Real Wage Rate,Coconut Workers,Region VII (Central Visayas),Male,114.66,115.25,108.72,149.71,134.01,126.65,121.29,116.2,112.57,108.18,104.63,99.34,98.75,108.89,99.53,98.67,97.5,102.88,140.46,164.92,158.23,159.83,161.35,217.32,230.24,234.75,PH070000000
Real Wage Rate,Coconut Workers,Region VIII (Eastern Visayas),Female,,95.49,,,,,,,,,80.33,85.27,88.01,,,,,96.57,126.41,144.57,151.88,,,,208.13,245.34,PH080000000
Real Wage Rate,Coconut Workers,Region VIII (Eastern Visayas),Male,115.59,117.74,110.1,141.9,120.65,121.66,117.98,111.8,109.56,111.28,113.37,111.81,107.36,120.15,107.25,101.88,104.95,106.75,148.55,152.31,152.8,154.85,156.15,215.44,212.31,246.42,PH080000000
Real Wage Rate,Coconut Workers,Region X (Northern Mindanao),Female,115.49,111.53,111.89,106.48,,,,94.25,100.58,97.34,101.65,107.85,108.79,113.17,102.26,98.06,108.1,105.18,138.83,135.51,140.98,154.84,155.22,197.25,210.31,233.57,PH100000000
Real Wage Rate,Coconut Workers,Region X (Northern Mindanao),Male,130.72,132.27,148.91,132.41,123.05,120.55,124.57,117.87,116.29,116.92,123.64,124.82,118.53,120.61,118.17,117.18,114.42,114.22,152.03,165.1,157.17,159.95,160.23,230.42,240.66,234.96,PH100000000
Real Wage Rate,Coconut Workers,Region XI (Davao Region),Female,,101.03,97.19,96.24,93.17,85.6,95.05,91.26,99.24,106.46,104.96,99.26,100.69,101.22,93.98,90.19,92.97,98.16,130.2,158.72,149.02,153.91,161.47,236.38,315.89,347.57,PH110000000
Real Wage Rate,Coconut Workers,Region XI (Davao Region),Male,112.3,114.62,124.95,139.0,116.9,130.73,130.82,123.87,128.34,117.54,111.06,107.12,107.68,106.69,100.25,96.9,93.65,98.69,143.04,179.07,163.29,171.63,172.45,235.57,253.33,277.94,PH110000000
Real Wage Rate,Coconut Workers,Region XII (SOCCSKSARGEN),Female,115.72,110.67,116.34,111.15,94.14,89.92,96.78,90.95,112.46,116.07,117.73,118.93,120.4,126.06,116.0,111.82,109.37,108.6,138.91,141.64,140.37,150.05,150.07,224.07,211.8,231.41,PH120000000
Real Wage Rate,Coconut Workers,Region XII (SOCCSKSARGEN),Male,115.6,120.81,110.5,144.54,133.68,132.08,109.35,108.04,156.52,132.61,132.77,132.28,127.09,126.94,118.51,114.09,112.54,113.81,148.42,143.95,133.87,137.92,138.6,227.02,217.55,226.48,PH120000000
Real Wage Rate,Coconut Workers,Region XIII (Caraga),Female,,,,,,,,,,,141.27,,,,,,,,146.43,171.49,165.74,172.2,173.96,202.63,229.98,309.29,PH160000000
Real Wage Rate,Coconut Workers,Region XIII (Caraga),Male,118.05,116.28,136.19,137.8,135.64,147.7,150.34,148.57,151.38,151.89,144.27,138.37,132.89,146.26,131.17,125.93,121.53,124.17,170.54,174.19,171.35,183.19,189.43,321.87,318.97,313.32,PH160000000
Real Wage Rate,Corn Workers,Autonomous Region in Muslim Mindanao (ARMM),Female,117.2,133.63,112.98,131.01,133.84,149.02,112.07,105.86,98.36,107.24,119.05,116.63,109.43,105.76,101.06,105.48,101.53,103.22,145.4,146.91,147.1,152.17,147.47,208.13,187.82,195.87,PH150000000
Real Wage Rate,Corn Workers,Autonomous Region in Muslim Mindanao (ARMM),Male,116.63,138.09,139.66,146.14,140.99,157.75,138.1,129.5,121.67,120.71,128.53,123.06,114.4,109.3,103.22,104.12,99.63,104.49,147.56,153.43,158.12,164.27,155.11,199.34,194.53,191.86,PH150000000
Real Wage Rate,Corn Workers,Cordillera Administrative Region (CAR),Female,100.19,108.76,120.58,131.37,125.54,122.53,120.85,110.4,117.43,121.3,115.71,110.21,110.64,119.35,123.47,133.3,130.16,133.57,188.95,187.15,189.29,196.54,187.5,201.78,211.05,216.12,PH140000000
Real Wage Rate,Corn Workers,Cordillera Administrative Region (CAR),Male,115.44,118.06,125.75,138.41,136.75,148.43,145.64,135.49,153.97,135.95,126.2,130.89,126.51,128.11,131.05,136.47,134.24,136.55,192.47,190.82,207.15,218.37,200.7,224.65,245.46,248.81,PH140000000
Real Wage Rate,Corn Workers,MIMAROPA Region,Female,,,,,,,,,86.42,93.57,96.55,97.04,98.11,112.31,114.45,118.02,122.57,124.31,149.31,145.79,158.45,158.98,160.41,205.09,208.94,224.41,PH170000000
Real Wage Rate,Corn Workers,MIMAROPA Region,Male,,,,,,,,,94.14,108.12,120.87,124.5,121.84,120.28,119.03,125.72,127.52,130.63,164.71,177.45,172.94,179.36,177.42,210.16,216.85,249.71,PH170000000
Real Wage Rate,Corn Workers,Region I (Ilocos Region),Female,109.41,110.63,119.16,115.76,112.55,128.11,125.19,114.1,106.11,108.2,111.7,108.15,109.86,115.36,119.59,122.16,119.39,126.92,172.8,189.34,184.37,189.09,196.22,219.7,222.2,251.63,PH010000000
Real Wage Rate,Corn Workers,Region I (Ilocos Region),Male,118.61,129.34,132.4,130.2,125.11,137.48,132.42,124.08,116.62,121.18,121.87,123.76,119.31,122.58,121.6,126.76,132.8,133.97,183.78,206.97,206.64,208.23,205.79,266.38,264.84,266.76,PH010000000
Real Wage Rate,Corn Workers,Region II (Cagayan Valley),Female,93.67,100.81,103.97,93.51,91.11,102.03,108.8,100.38,95.98,104.56,109.41,106.31,110.57,115.98,123.57,118.1,119.6,126.02,168.73,177.32,193.07,193.89,189.39,181.79,211.15,247.91,PH020000000
Real Wage Rate,Corn Workers,Region II (Cagayan Valley),Male,125.96,128.17,118.3,122.62,108.12,125.93,121.22,116.8,108.19,118.31,119.14,117.76,116.36,119.4,125.03,120.4,121.5,130.46,170.5,190.77,196.08,200.51,191.27,203.99,222.01,262.33,PH020000000
Real Wage Rate,Corn Workers,Region III (Central Luzon),Female,101.47,102.14,87.34,97.16,103.96,106.11,109.29,112.2,104.68,120.91,124.45,133.37,142.54,150.34,143.79,148.36,148.05,,,,,162.08,195.15,268.41,249.81,257.28,PH030000000
Real Wage Rate,Corn Workers,Region III (Central Luzon),Male,132.66,139.44,129.91,160.37,161.87,163.4,145.64,139.22,152.06,144.93,143.59,140.0,140.94,149.99,149.79,146.07,145.06,151.54,209.71,240.67,243.67,263.02,211.03,287.13,274.64,295.4,PH030000000
Real Wage Rate,Corn Workers,Region IV-A (CALABARZON),Female,109.65,111.78,118.73,129.12,128.98,123.14,121.12,106.74,89.66,,98.98,,111.97,,118.02,137.81,123.0,128.0,,169.62,186.34,189.56,207.37,289.47,313.91,325.06,PH040000000
Real Wage Rate,Corn Workers,Region IV-A (CALABARZON),Male,136.16,146.24,158.71,154.45,146.62,138.8,133.66,124.71,129.59,128.86,140.51,135.99,132.47,130.97,130.11,136.04,131.5,137.37,178.11,189.8,211.45,215.58,214.59,300.01,310.36,331.34,PH040000000
Real Wage Rate,Corn Workers,Region IX (Zamboanga Peninsula),Female,100.06,102.14,106.68,99.99,107.18,93.43,90.01,86.35,84.99,93.9,99.75,98.31,100.98,104.2,94.36,92.59,93.39,97.45,128.19,130.17,125.47,135.13,132.77,182.18,179.6,192.69,PH090000000
Real Wage Rate,Corn Workers,Region IX (Zamboanga Peninsula),Male,110.41,111.03,103.07,108.2,106.09,124.71,118.39,113.3,105.54,104.85,108.91,106.14,103.93,105.23,95.75,93.37,92.27,100.76,133.67,139.86,142.21,142.61,139.76,184.93,201.62,204.24,PH090000000
Real Wage Rate,Corn Workers,Region V (Bicol Region),Female,92.16,94.39,95.35,93.71,90.53,93.73,89.6,84.9,75.48,85.78,84.6,90.55,96.63,97.51,98.67,97.24,93.78,98.22,128.01,142.99,146.26,150.21,159.64,206.53,211.75,214.52,PH050000000
Real Wage Rate,Corn Workers,Region V (Bicol Region),Male,110.28,110.63,109.99,103.28,100.41,124.25,115.89,111.56,106.21,103.95,98.66,98.62,101.8,101.18,99.75,98.15,96.02,101.7,132.53,151.82,151.09,160.43,169.0,226.41,234.97,248.46,PH050000000
Real Wage Rate,Corn Workers,Region VI (Western Visayas),Female,77.25,87.67,91.44,91.07,87.32,89.86,91.73,83.91,87.5,92.18,92.69,98.08,103.11,109.68,107.69,105.84,106.35,106.56,137.85,143.32,142.85,143.16,147.89,198.64,198.99,216.6,PH060000000
Real Wage Rate,Corn Workers,Region VI (Western Visayas),Male,97.96,111.39,113.58,113.0,102.44,112.75,106.49,104.72,107.29,109.7,109.07,109.29,112.57,114.55,110.43,106.61,104.48,108.23,139.88,148.99,150.31,149.8,145.24,241.35,233.5,230.19,PH060000000
Real Wage Rate,Corn Workers,Region VII (Central Visayas),Female,89.06,94.97,106.45,105.9,92.44,93.12,87.24,81.08,75.77,76.39,85.86,93.48,91.97,95.26,88.95,89.03,87.44,91.94,129.08,128.27,134.11,135.54,137.53,196.06,187.52,195.92,PH070000000
Real Wage Rate,Corn Workers,Region VII (Central Visayas),Male,96.86,107.94,98.86,97.5,95.87,102.3,99.21,92.68,90.57,89.53,93.93,94.87,97.38,96.95,91.39,90.6,90.84,97.38,136.33,131.82,134.96,146.73,148.42,198.34,215.37,219.56,PH070000000
Real Wage Rate,Corn Workers,Region VIII (Eastern Visayas),Female,88.79,93.87,88.15,92.96,84.77,85.43,90.92,85.03,82.15,80.38,84.8,90.88,93.01,96.12,89.81,87.08,87.45,92.3,120.22,119.81,122.8,141.42,145.32,186.11,214.76,220.06,PH080000000
Real Wage Rate,Corn Workers,Region VIII (Eastern Visayas),Male,97.04,98.32,99.42,101.83,105.94,99.09,96.76,95.08,88.35,91.94,104.48,103.64,101.8,99.36,90.94,87.81,88.47,95.6,125.33,130.01,129.27,163.11,158.59,192.42,190.18,226.27,PH080000000
Real Wage Rate,Corn Workers,Region X (Northern Mindanao),Female,113.95,118.24,107.25,104.04,105.0,109.92,103.9,94.96,97.74,100.83,101.17,108.53,103.38,104.41,102.36,98.44,95.67,98.74,130.4,129.24,127.37,128.34,129.63,199.96,183.82,201.73,PH100000000
Real Wage Rate,Corn Workers,Region X (Northern Mindanao),Male,119.31,123.72,120.75,124.03,114.99,126.06,118.39,111.04,107.52,106.64,106.57,106.31,105.32,106.06,106.1,103.22,100.46,101.86,133.73,132.8,130.31,131.39,131.01,190.08,185.19,202.05,PH100000000
Real Wage Rate,Corn Workers,Region XI (Davao Region),Female,101.64,108.87,96.47,99.78,89.46,98.86,88.78,85.85,86.98,92.22,99.98,98.5,97.51,98.71,95.6,91.61,89.07,92.87,124.42,119.47,124.67,123.6,128.75,221.57,218.35,242.83,PH110000000
Real Wage Rate,Corn Workers,Region XI (Davao Region),Male,106.23,117.75,101.2,99.67,99.16,118.31,108.96,102.32,99.85,99.61,102.91,102.82,100.64,99.07,97.22,93.41,92.38,95.75,130.01,127.95,130.8,133.87,134.47,218.1,218.55,244.94,PH110000000
Real Wage Rate,Corn Workers,Region XII (SOCCSKSARGEN),Female,104.01,105.64,86.05,99.71,91.15,110.17,99.4,96.11,99.47,101.38,99.33,102.29,101.23,99.14,94.6,94.58,93.82,97.82,128.19,138.77,139.2,144.38,140.37,182.45,189.05,194.25,PH120000000
Real Wage Rate,Corn Workers,Region XII (SOCCSKSARGEN),Male,122.73,141.29,125.76,121.92,122.33,136.53,123.81,118.77,123.99,114.15,112.19,109.47,106.01,102.97,97.79,96.22,95.56,102.59,131.71,136.74,143.93,145.27,143.95,191.05,198.91,209.82,PH120000000
Real Wage Rate,Corn Workers,Region XIII (Caraga),Female,97.35,111.65,105.48,106.5,104.68,118.72,111.05,107.0,108.05,109.43,113.0,112.27,107.96,106.2,102.48,100.35,103.7,104.31,143.17,148.15,155.49,162.15,151.49,221.13,239.86,256.3,PH160000000
Real Wage Rate,Corn Workers,Region XIII (Caraga),Male,112.07,124.29,116.64,108.35,119.37,121.93,128.44,123.42,129.0,123.78,124.44,119.45,113.98,112.04,107.57,104.78,106.46,107.22,145.98,158.17,166.7,170.08,163.98,226.04,255.37,256.86,PH160000000
Real Wage Rate,Palay Workers,Autonomous Region in Muslim Mindanao (ARMM),Female,121.07,139.77,145.68,140.48,123.36,125.16,117.99,113.45,112.05,119.38,124.1,120.23,113.98,116.37,115.51,114.36,113.66,121.23,173.0,173.51,168.95,175.97,185.22,250.34,217.04,237.44,PH150000000
Real Wage Rate,Palay Workers,Autonomous Region in Muslim Mindanao (ARMM),Male,127.77,149.42,156.71,151.28,154.95,148.65,131.1,123.81,128.39,133.03,136.44,133.04,126.42,116.67,116.84,115.35,114.64,122.29,176.05,175.03,169.9,179.53,182.3,225.31,213.34,212.79,PH150000000
Real Wage Rate,Palay Workers,Cordillera Administrative Region (CAR),Female,111.16,120.9,134.45,131.33,128.4,125.33,129.59,129.9,130.16,125.8,117.23,117.69,112.48,116.77,125.74,124.14,121.05,127.12,172.18,188.25,185.56,189.37,191.65,235.47,250.28,251.11,PH140000000
Real Wage Rate,Palay Workers,Cordillera Administrative Region (CAR),Male,128.27,146.17,150.91,148.47,166.84,160.8,175.02,163.96,161.18,141.52,135.62,132.64,126.23,123.85,129.85,131.65,127.63,131.09,182.5,198.59,196.03,200.15,205.73,248.14,267.36,267.97,PH140000000
Real Wage Rate,Palay Workers,MIMAROPA Region,Female,,,,,,,,,126.53,131.8,124.17,121.16,125.52,136.7,136.42,136.62,138.0,139.1,175.47,179.82,176.26,180.43,181.12,223.12,223.91,251.6,PH170000000
Real Wage Rate,Palay Workers,MIMAROPA Region,Male,,,,,,,,,145.18,139.33,133.83,132.81,141.83,141.34,148.59,150.43,156.21,157.32,197.27,203.88,198.68,203.18,206.15,287.61,349.11,346.1,PH170000000
Real Wage Rate,Palay Workers,Region I (Ilocos Region),Female,123.8,139.22,150.43,149.01,138.4,139.26,144.98,134.81,136.77,137.28,136.66,123.77,127.89,133.35,145.89,147.15,149.77,147.83,220.39,222.82,220.14,236.82,241.51,285.62,292.7,292.96,PH010000000
Real Wage Rate,Palay Workers,Region I (Ilocos Region),Male,136.91,149.6,164.84,159.16,162.66,168.34,168.72,157.71,154.0,155.23,150.22,144.4,138.37,148.45,158.53,158.38,160.9,165.37,236.97,238.12,237.6,250.6,249.82,289.16,312.32,309.69,PH010000000
Real Wage Rate,Palay Workers,Region II (Cagayan Valley),Female,119.93,123.41,122.18,127.3,130.06,123.32,123.26,123.59,127.02,121.43,122.32,125.94,133.06,139.27,147.1,143.24,138.9,148.99,212.15,214.09,223.44,236.7,247.03,276.81,263.3,303.55,PH020000000
Real Wage Rate,Palay Workers,Region II (Cagayan Valley),Male,138.7,145.73,144.09,149.01,151.61,152.09,152.06,141.58,141.04,140.83,142.4,137.91,134.65,142.69,152.68,147.04,142.8,153.28,215.25,235.37,243.8,262.73,272.12,290.67,271.77,317.44,PH020000000
Real Wage Rate,Palay Workers,Region III (Central Luzon),Female,121.34,136.69,141.01,148.7,164.57,157.84,159.57,150.28,157.62,152.19,138.21,143.35,139.63,149.24,148.39,150.5,148.66,153.09,200.21,233.49,228.87,253.0,252.02,284.14,264.43,296.97,PH030000000
Real Wage Rate,Palay Workers,Region III (Central Luzon),Male,143.32,161.6,180.52,207.18,204.38,207.37,201.36,197.31,185.51,182.65,178.55,177.76,170.43,175.73,172.75,176.56,179.63,180.15,239.52,264.0,258.44,266.46,272.1,331.68,305.64,297.52,PH030000000
Real Wage Rate,Palay Workers,Region IV-A (CALABARZON),Female,121.76,133.0,131.62,159.93,155.74,146.42,142.9,135.28,142.0,140.86,147.04,138.78,140.92,157.91,160.02,161.68,157.43,165.33,230.59,232.15,231.84,238.85,239.71,328.51,344.65,346.75,PH040000000
Real Wage Rate,Palay Workers,Region IV-A (CALABARZON),Male,147.87,155.44,161.52,184.79,173.52,165.73,171.99,160.43,153.82,154.79,160.76,152.75,151.59,161.88,168.17,168.36,175.75,176.94,234.82,233.55,233.36,241.35,242.62,357.22,344.06,358.15,PH040000000
Real Wage Rate,Palay Workers,Region IX (Zamboanga Peninsula),Female,114.79,118.36,119.45,136.41,127.97,122.26,113.0,112.86,115.08,111.15,106.75,105.79,110.3,120.09,113.47,117.42,117.67,126.36,168.77,165.64,155.68,166.51,167.46,236.5,238.88,242.07,PH090000000
