"Agricultural Wage Rates of Farm Workers by Type of Wages, Type of Farm Workers, Geolocation, Year and Sex"

"Type of Wages","Type of Farm Workers","Geolocation","1975 ..Male","1975 ..Female","1976 ..Male","1976 ..Female","1977 ..Male","1977 ..Female","1978 ..Male","1978 ..Female","1979 ..Male","1979 ..Female","1980 ..Male","1980 ..Female","1981 ..Male","1981 ..Female","1982 ..Male","1982 ..Female","1983 ..Male","1983 ..Female","1984 ..Male","1984 ..Female","1985 ..Male","1985 ..Female","1986 ..Male","1986 ..Female","1987 ..Male","1987 ..Female","1988 ..Male","1988 ..Female","1989 ..Male","1989 ..Female","1990 ..Male","1990 ..Female","1991 ..Male","1991 ..Female","1992 ..Male","1992 ..Female","1993 ..Male","1993 ..Female","1994 ..Male","1994 ..Female","1995 ..Male","1995 ..Female","1996 ..Male","1996 ..Female","1997 ..Male","1997 ..Female","1998 ..Male","1998 ..Female","1999 ..Male","1999 ..Female","2000 ..Male","2000 ..Female","2001 ..Male","2001 ..Female","2002 ..Male","2002 ..Female","2003 ..Male","2003 ..Female","2004 ..Male","2004 ..Female","2005 ..Male","2005 ..Female","2006 ..Male","2006 ..Female","2007 ..Male","2007 ..Female","2008 ..Male","2008 ..Female","2009 ..Male","2009 ..Female","2010 ..Male","2010 ..Female","2011 ..Male","2011 ..Female","2012 ..Male","2012 ..Female","2013 ..Male","2013 ..Female","2014 ..Male","2014 ..Female","2015 ..Male","2015 ..Female","2016 ..Male","2016 ..Female","2017 ..Male","2017 ..Female","2018 ..Male","2018 ..Female","2019 ..Male","2019 ..Female"
"Nominal Wage Rate","..Coconut Workers","..Region II (Cagayan Valley)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80.81,..,100.47,..,125.86,..,130.27,..,147.79,133.33,149.47,140.31,156.36,137.65,172.33,..,175.79,..,191.84,..,192.28,182.22,193.60,..,199.20,..,201.66,..,233.29,..,274.60,210.67,278.56,223.53,280.69,..,281.95,..,386.40,..,389.76,..,443.33,..
"Nominal Wage Rate","..Coconut Workers","..Region III (Central Luzon)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.90,..,105.33,..,123.88,..,150.00,..,153.64,..,163.50,..,162.00,..,148.57,..,166.64,..,198.75,..,201.50,..,222.72,169.49,224.62,..,242.37,..,266.40,..,266.60,..,266.62,..,267.99,..,301.40,..,310.22,..,324.55,..,345.25,..,349.33,320.00,320.53,..,317.27,..,357.79,333.33
"Nominal Wage Rate","..Coconut Workers","..Southern Tagalog",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95.27,86.24,98.53,88.53,102.62,95.07,116.70,98.06,125.24,105.39,157.43,125.90,137.12,136.89,167.16,128.23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Coconut Workers","..Region IV-A (CALABARZON)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,177.56,..,192.38,..,196.21,187.91,202.35,..,203.92,..,237.08,..,243.97,..,254.57,187.32,262.19,..,267.92,242.42,276.46,246.19,307.43,300.00,308.58,..,319.75,..,320.80,..,369.99,..,372.18,..,391.18,388.24
"Nominal Wage Rate","..Coconut Workers","..MIMAROPA Region",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,146.47,125.22,150.12,134.48,155.43,149.71,167.75,145.39,171.49,156.26,179.75,175.13,192.52,181.36,203.82,182.41,208.39,203.98,208.73,200.34,221.98,205.22,244.44,225.00,256.93,227.85,258.45,230.32,260.39,233.65,289.14,227.90,308.95,250.76,416.62,412.10
"Nominal Wage Rate","..Coconut Workers","..Region V (Bicol Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.35,79.02,96.10,83.50,87.21,74.00,103.75,85.91,114.65,80.00,120.58,80.00,115.34,90.91,131.20,86.61,137.89,100.00,131.70,105.65,134.65,98.81,143.22,..,145.54,..,151.93,..,161.59,..,161.88,..,172.74,172.00,179.80,..,197.00,..,197.22,192.00,208.11,..,224.47,..,267.70,206.52,263.90,276.47,353.77,275.57,355.21,337.79
"Nominal Wage Rate","..Coconut Workers","..Region VI (Western Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77.01,74.64,82.55,79.31,72.49,69.09,98.02,84.20,100.03,63.40,98.75,70.00,102.96,81.43,102.98,87.53,112.55,108.19,125.11,91.58,127.85,93.94,135.06,102.74,140.65,114.74,157.61,140.89,169.16,158.50,170.03,159.41,173.69,171.11,173.77,169.94,188.95,172.14,192.89,176.97,212.36,206.06,226.84,230.00,228.99,..,288.24,279.28,305.16,327.11,329.44,368.51
"Nominal Wage Rate","..Coconut Workers","..Region VII (Central Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76.71,69.32,82.29,73.45,83.06,..,120.22,85.52,118.06,99.06,118.80,85.00,121.29,99.72,125.26,85.09,127.09,104.45,129.49,106.88,132.25,95.96,133.71,104.08,140.82,120.05,158.65,144.17,160.84,148.73,163.79,154.27,167.41,164.94,179.63,169.88,180.35,..,222.48,197.01,234.02,219.26,236.39,236.36,238.63,..,250.35,205.68,279.97,211.90,290.15,289.47
"Nominal Wage Rate","..Coconut Workers","..Region VIII (Eastern Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,78.60,..,87.36,70.85,90.50,..,118.49,..,107.98,..,116.79,..,117.98,..,118.40,..,119.53,..,124.63,..,133.66,94.71,140.21,106.93,142.90,117.14,164.73,..,167.10,..,167.39,..,177.47,..,184.24,166.67,198.61,169.01,212.47,201.68,235.16,233.75,238.32,..,240.31,..,251.20,..,261.14,256.00,307.78,306.43
"Nominal Wage Rate","..Coconut Workers","..Western Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84.58,..,89.23,..,97.31,..,114.82,..,118.33,94.05,136.53,..,143.93,..,144.00,102.86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Coconut Workers","..Region IX (Zamboanga Peninsula)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,133.74,..,137.58,140.85,139.01,131.74,151.27,147.67,156.04,152.43,158.04,157.69,159.64,158.72,160.60,159.71,168.66,168.63,173.11,172.78,186.37,176.12,224.77,200.00,232.54,225.88,234.50,230.52,236.22,230.36,242.80,218.63,261.08,212.50,280.99,263.05
"Nominal Wage Rate","..Coconut Workers","..Region X (Northern Mindanao)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88.76,78.42,96.03,80.97,117.49,88.28,109.37,87.95,111.73,..,115.25,..,124.57,..,125.06,100.00,127.22,110.03,132.82,110.58,150.35,123.61,163.38,141.18,165.11,151.55,174.40,163.64,190.14,164.53,196.98,164.84,198.52,187.56,205.30,189.05,210.26,192.00,238.40,195.67,243.61,218.52,247.92,240.00,248.35,240.59,266.14,227.82,292.17,255.32,293.93,292.20
"Nominal Wage Rate","..Coconut Workers","..Southern Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79.51,..,86.42,76.18,101.21,78.72,118.01,81.71,108.02,86.09,126.15,82.60,130.82,95.05,130.93,96.46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Coconut Workers","..Region XI (Davao Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,140.79,108.87,132.58,120.09,135.71,128.26,142.36,131.91,151.50,141.67,154.38,146.47,160.00,150.00,161.82,150.62,162.76,161.59,176.12,175.17,194.10,176.68,250.88,222.37,251.14,229.20,263.96,236.71,265.23,248.34,263.37,264.27,298.93,372.76,336.30,420.56
"Nominal Wage Rate","..Coconut Workers","..Central Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.89,85.98,95.32,87.32,93.04,97.96,127.77,98.26,127.80,90.00,130.10,88.57,109.35,96.78,113.01,95.13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Coconut Workers","..Region XII (SOCCSKSARGEN)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,168.89,121.34,147.59,129.19,157.60,139.74,167.60,150.68,169.54,160.61,175.05,173.83,182.38,178.53,182.78,179.13,188.16,182.87,194.85,185.93,202.15,189.19,203.26,200.00,207.50,217.58,213.77,232.57,214.83,232.61,257.90,254.55,262.15,255.22,280.83,286.95
"Nominal Wage Rate","..Coconut Workers","..Region XIII (Caraga)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81.93,..,85.93,..,109.36,..,115.34,..,123.16,..,143.27,..,150.34,..,157.04,..,164.25,..,170.27,..,172.40,168.82,179.33,..,182.59,..,205.49,..,211.71,..,212.70,..,212.92,..,224.42,..,242.85,208.51,257.62,253.64,278.61,269.50,297.86,280.00,308.01,282.86,363.06,228.57,374.47,270.00,374.73,369.91
"Nominal Wage Rate","..Coconut Workers","..Autonomous Region in Muslim Mindanao (ARMM)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,105.21,..,105.82,109.39,113.35,96.86,127.12,101.41,129.74,102.33,155.93,109.19,156.04,136.75,159.96,134.33,162.82,145.72,166.01,158.54,167.85,166.38,175.59,..,175.70,160.00,178.33,178.16,178.40,176.51,188.51,178.60,202.18,..,202.34,..,218.71,..,224.87,200.00,245.20,200.00,342.48,286.89,349.00,..
"Nominal Wage Rate","..Sugarcane Workers","..Cordillera Administrative Region (CAR)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Sugarcane Workers","..Region I (Ilocos Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76.55,..,94.94,98.80,102.31,112.26,126.23,..,127.11,..,130.78,..,197.73,..,148.22,..,153.13,..,167.72,..,165.55,..,191.69,..,193.75,..,226.79,..,252.05,..,257.26,..,257.99,..,258.06,..,260.66,..,310.64,..,315.00,258.33,332.92,..,333.65,335.00,408.59,..,336.16,350.00,353.25,..
"Nominal Wage Rate","..Sugarcane Workers","..Region II (Cagayan Valley)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,115.95,84.29,120.67,100.38,145.39,125.41,140.08,128.12,135.79,127.46,138.18,136.79,170.52,147.28,194.85,155.70,200.14,161.10,201.09,189.58,201.45,196.82,205.77,204.96,208.42,206.10,210.56,209.02,210.87,209.31,235.14,219.05,247.62,244.35,249.00,244.54,262.88,257.20,264.77,260.60,251.31,257.51,276.41,269.35,322.18,308.56
"Nominal Wage Rate","..Sugarcane Workers","..Region III (Central Luzon)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,93.13,70.05,105.45,82.36,111.05,88.49,120.89,116.98,125.08,126.76,130.58,161.65,161.85,137.20,161.97,123.00,164.33,129.95,180.09,157.16,210.68,174.43,222.07,186.63,222.90,197.82,225.11,200.17,227.05,211.78,254.82,251.01,254.84,252.00,255.55,252.41,290.10,264.60,303.49,266.67,314.72,274.79,329.48,284.78,331.36,323.83,275.49,351.11,317.80,301.79,331.34,322.58
"Nominal Wage Rate","..Sugarcane Workers","..Southern Tagalog",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94.77,92.35,110.50,102.77,118.83,123.68,131.60,149.86,154.55,..,193.12,..,206.42,212.72,168.38,140.50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Sugarcane Workers","..Region IV-A (CALABARZON)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,175.71,148.31,177.00,165.12,195.84,173.33,221.20,198.48,223.03,214.35,223.27,214.75,223.66,216.00,225.91,222.22,227.86,..,228.48,..,229.50,237.41,289.83,261.24,292.81,271.84,305.70,284.62,306.85,300.00,308.08,330.32,258.90,257.68,341.08,328.19
"Nominal Wage Rate","..Sugarcane Workers","..MIMAROPA Region",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Sugarcane Workers","..Region V (Bicol Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79.68,67.22,91.33,80.87,98.75,84.16,107.31,123.94,111.38,131.60,139.17,135.12,128.74,..,131.70,..,138.50,130.85,138.58,123.08,145.17,138.82,159.15,142.38,161.59,150.00,167.71,158.04,168.07,..,168.37,..,179.05,144.54,182.63,..,182.92,..,211.25,..,223.67,..,236.96,210.96,239.74,237.94,241.17,231.20,260.24,247.61,295.85,267.68
"Nominal Wage Rate","..Sugarcane Workers","..Region VI (Western Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80.48,69.03,92.24,75.64,98.90,79.16,102.62,86.51,129.22,98.42,161.27,120.45,156.53,127.04,161.90,133.49,168.17,116.13,160.14,130.65,153.11,140.30,180.13,148.02,181.44,173.88,189.48,156.85,192.99,173.56,191.84,179.17,192.28,179.34,195.67,172.40,214.32,185.80,231.26,192.87,237.47,201.04,258.23,218.56,261.14,252.04,231.28,204.62,279.22,248.24,301.21,317.53
"Nominal Wage Rate","..Sugarcane Workers","..Region VII (Central Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77.47,67.88,84.05,71.77,88.60,73.87,95.25,78.48,102.73,96.81,128.13,126.45,135.03,119.85,138.44,121.19,141.66,123.40,144.52,116.36,137.84,128.90,162.80,127.46,163.67,146.67,165.69,135.34,168.78,136.64,169.78,138.06,176.21,138.59,196.64,166.15,215.67,175.95,222.35,181.10,235.85,201.04,243.39,206.72,243.60,209.43,243.97,242.75,265.73,257.10,282.15,262.97
"Nominal Wage Rate","..Sugarcane Workers","..Region VIII (Eastern Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,78.04,72.63,94.30,90.20,106.11,103.70,109.34,104.75,112.50,..,137.56,107.26,157.77,142.71,162.02,134.02,156.67,135.19,152.41,144.97,160.34,152.80,173.41,154.44,174.18,168.02,174.22,169.30,174.64,169.78,176.35,173.63,178.60,173.79,187.33,183.83,193.17,183.33,228.69,189.87,240.33,215.92,252.91,226.79,252.96,237.66,257.68,..,254.97,268.14,294.56,277.36
"Nominal Wage Rate","..Sugarcane Workers","..Western Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Sugarcane Workers","..Region IX (Zamboanga Peninsula)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Sugarcane Workers","..Region X (Northern Mindanao)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,99.13,62.12,114.77,74.37,125.51,95.00,143.80,100.00,143.85,105.00,134.89,107.00,137.47,127.96,151.58,135.10,164.71,134.20,166.05,146.90,167.19,146.92,171.82,151.06,169.70,153.32,170.51,147.51,180.40,164.43,190.54,163.38,192.27,177.46,229.20,182.14,236.28,190.17,239.35,211.07,233.31,249.13,294.13,202.88,294.25,286.16
"Nominal Wage Rate","..Sugarcane Workers","..Southern Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79.94,62.93,90.77,80.33,102.47,86.48,103.31,88.26,114.34,101.51,116.84,130.65,137.90,130.94,161.88,135.96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Sugarcane Workers","..Region XI (Davao Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,161.08,157.75,161.46,159.10,171.79,164.01,201.91,170.30,202.67,179.16,209.09,177.53,212.80,184.39,209.08,185.90,209.72,169.23,214.35,198.44,216.34,195.92,239.63,206.14,261.32,248.31,272.18,258.62,275.82,259.55,323.54,220.44,363.27,..,383.88,205.66
"Nominal Wage Rate","..Sugarcane Workers","..Central Mindanao",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79.88,72.34,88.46,78.19,94.55,84.42,105.06,86.47,121.27,92.95,143.99,117.80,135.25,115.75,163.30,121.75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Sugarcane Workers","..Region XII (SOCCSKSARGEN)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,164.79,122.13,163.02,145.10,175.77,142.23,175.22,148.63,177.18,159.32,181.34,145.69,183.38,148.54,188.88,156.14,191.36,148.89,190.56,155.38,199.35,178.70,216.16,196.01,238.05,210.00,252.17,222.49,253.26,226.67,248.70,238.73,277.46,269.72,279.42,270.97
"Nominal Wage Rate","..Sugarcane Workers","..Region XIII (Caraga)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Nominal Wage Rate","..Sugarcane Workers","..Autonomous Region in Muslim Mindanao (ARMM)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Palay Workers","..Cordillera Administrative Region (CAR)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,128.27,111.16,146.17,120.90,150.91,134.45,148.47,131.33,166.84,128.40,160.80,125.33,175.02,129.59,163.96,129.90,161.18,130.16,141.52,125.80,135.62,117.23,132.64,117.69,126.23,112.48,123.85,116.77,129.85,125.74,131.65,124.14,127.63,121.05,131.09,127.12,182.50,172.18,198.59,188.25,196.03,185.56,200.15,189.37,205.73,191.65,248.14,235.47,267.36,250.28,267.97,251.11
"Real Wage Rate","..Palay Workers","..Region I (Ilocos Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,136.91,123.80,149.60,139.22,164.84,150.43,159.16,149.01,162.66,138.40,168.34,139.26,168.72,144.98,157.71,134.81,154.00,136.77,155.23,137.28,150.22,136.66,144.40,123.77,138.37,127.89,148.45,133.35,158.53,145.89,158.38,147.15,160.90,149.77,165.37,147.83,236.97,220.39,238.12,222.82,237.60,220.14,250.60,236.82,249.82,241.51,289.16,285.62,312.32,292.70,309.69,292.96
"Real Wage Rate","..Palay Workers","..Region II (Cagayan Valley)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,138.70,119.93,145.73,123.41,144.09,122.18,149.01,127.30,151.61,130.06,152.09,123.32,152.06,123.26,141.58,123.59,141.04,127.02,140.83,121.43,142.40,122.32,137.91,125.94,134.65,133.06,142.69,139.27,152.68,147.10,147.04,143.24,142.80,138.90,153.28,148.99,215.25,212.15,235.37,214.09,243.80,223.44,262.73,236.70,272.12,247.03,290.67,276.81,271.77,263.30,317.44,303.55
"Real Wage Rate","..Palay Workers","..Region III (Central Luzon)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,143.32,121.34,161.60,136.69,180.52,141.01,207.18,148.70,204.38,164.57,207.37,157.84,201.36,159.57,197.31,150.28,185.51,157.62,182.65,152.19,178.55,138.21,177.76,143.35,170.43,139.63,175.73,149.24,172.75,148.39,176.56,150.50,179.63,148.66,180.15,153.09,239.52,200.21,264.00,233.49,258.44,228.87,266.46,253.00,272.10,252.02,331.68,284.14,305.64,264.43,297.52,296.97
"Real Wage Rate","..Palay Workers","..Southern Tagalog",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,147.87,121.76,155.44,133.00,161.52,131.62,184.79,159.93,173.52,155.74,165.73,146.42,171.99,142.90,160.43,135.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Real Wage Rate","..Palay Workers","..Region IV-A (CALABARZON)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,153.82,142.00,154.79,140.86,160.76,147.04,152.75,138.78,151.59,140.92,161.88,157.91,168.17,160.02,168.36,161.68,175.75,157.43,176.94,165.33,234.82,230.59,233.55,232.15,233.36,231.84,241.35,238.85,242.62,239.71,357.22,328.51,344.06,344.65,358.15,346.75
"Real Wage Rate","..Palay Workers","..MIMAROPA Region",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,145.18,126.53,139.33,131.80,133.83,124.17,132.81,121.16,141.83,125.52,141.34,136.70,148.59,136.42,150.43,136.62,156.21,138.00,157.32,139.10,197.27,175.47,203.88,179.82,198.68,176.26,203.18,180.43,206.15,181.12,287.61,223.12,349.11,223.91,346.10,251.60
"Real Wage Rate","..Palay Workers","..Region V (Bicol Region)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,127.93,96.22,138.92,99.43,130.40,114.32,138.77,127.19,138.03,120.09,133.24,108.92,137.18,111.01,130.03,110.79,129.02,110.69,127.32,114.48,119.65,107.37,119.86,104.25,117.74,111.91,124.63,114.93,129.95,125.90,125.77,123.62,125.74,120.51,132.95,124.85,172.24,166.71,181.69,170.07,180.23,166.77,187.93,171.85,188.57,172.26,254.10,235.33,272.93,245.89,271.19,251.57
"Real Wage Rate","..Palay Workers","..Region VI (Western Visayas)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,116.25,91.92,131.63,110.16,134.25,112.25,149.43,124.32,145.76,114.43,150.20,116.40,151.05,120.40,147.03,113.69,139.71,108.51,129.16,113.25,129.97,109.50,126.23,104.96,124.10,109.04,122.90,115.53,126.94,114.79,123.38,116.17,126.16,120.31,127.02,122.42,165.63,157.53,168.83,162.70,161.14,154.73,169.24,158.40,170.32,160.88,253.25,226.02,259.09,237.69,255.50,247.12
